GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",1,"...","All industry total",94.863,97.000,102.507,104.636,101.138,103.914,105.954,106.050,107.613,105.838,105.322,99.485,90.745,95.723,98.235,100.000,101.304,103.021,105.640,107.977,109.615,112.336
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",2,"..."," Private industries",92.918,95.437,101.188,103.233,99.372,102.391,104.777,105.151,106.745,105.108,104.882,98.282,88.698,94.305,97.697,100.000,101.798,104.038,106.822,109.478,111.214,114.262
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing and hunting",69.403,70.399,81.068,81.871,78.591,88.625,85.437,100.712,105.947,126.623,100.639,104.277,107.229,116.729,131.142,100.000,116.528,111.934,123.915,123.463,123.926,128.700
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",4,"111-112","   Farms",69.413,69.970,81.938,81.639,75.191,88.051,83.008,100.026,106.158,129.620,100.946,105.253,108.073,119.824,136.712,100.000,119.289,112.348,125.620,124.305,125.290,(NA)
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",67.226,70.602,74.510,80.202,92.138,87.051,93.778,97.623,97.413,103.113,92.816,92.169,95.626,93.692,93.270,100.000,97.692,107.883,112.905,116.157,114.476,(NA)
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",80.427,82.755,81.296,80.535,82.664,74.413,70.116,74.056,69.587,81.533,73.600,74.027,75.027,87.051,102.395,100.000,101.376,107.489,112.282,120.348,115.104,114.081
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",7,"211","   Oil and gas extraction",294.587,205.368,120.423,64.490,54.802,61.318,49.154,46.350,45.418,80.092,59.942,53.428,74.643,64.666,71.458,100.000,98.605,96.661,110.559,111.554,99.131,(NA)
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",66.785,81.087,89.243,92.981,90.761,81.846,78.423,81.162,75.047,77.476,69.952,72.700,73.868,91.523,109.607,100.000,102.141,109.623,120.352,134.140,126.073,(NA)
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",9,"213","   Support activities for mining",50.186,48.496,46.587,63.811,89.073,70.983,69.635,86.194,83.653,107.640,115.608,115.139,84.851,83.745,90.559,100.000,99.611,107.086,70.597,50.402,64.974,(NA)
 "26000","Michigan",3,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",10,"22","  Utilities",85.941,79.867,95.492,94.235,74.834,75.104,74.965,77.010,73.995,78.522,82.367,87.559,80.500,91.179,93.759,100.000,96.113,90.197,88.747,98.957,99.115,101.544
