GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",24,"339","    Miscellaneous manufacturing",(T),(T),(T),(T),-740,-522,-1067,-1221,-1774,-1479,-1807,-1646,(D),-483,-938,-990,-739,-1843,-2232,-1230,-1124,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",318139,544857,324837,283265,(D),(D),490670,580901,560768,661451,774155,733674,705853,336291,149050,101743,341496,598238,760936,503433,627517,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",69135,81546,84094,8321,25809,28809,1049,35207,46932,146523,157292,138617,316726,82879,-48885,-44739,20599,28075,244909,157909,124275,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",(T),(T),(T),(T),(D),(D),595,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1920,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(T),(T),(T),(T),12,12,(D),(D),(D),-97,(D),(D),2,(D),0,(D),-8,-46,-31,64,(D),(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",29,"322","    Paper manufacturing",16307,(T),(T),(T),(D),(D),(D),(D),138,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",30,"323","    Printing and related support activities",1400,1852,2642,3120,3503,3766,4692,4347,4700,5424,5200,6122,6998,6475,6409,6951,7535,3990,5258,5493,4416,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",222862,446244,225807,260634,334240,326769,472040,528271,500298,498099,598453,579257,368804,235061,177294,128017,301803,557850,502721,331872,492651,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",32,"325","    Chemical manufacturing",4278,5098,5620,5712,(D),(D),(D),(D),2603,4660,5251,3111,3258,3280,8683,6976,6657,2896,3235,3034,2670,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",34,"42","  Wholesale trade",133678,133054,119902,113839,108011,106110,114196,137364,165135,192235,218103,238311,240463,264213,265409,290822,313324,314900,318097,311124,311765,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",35,"44-45","  Retail trade",531415,551836,555719,543539,581990,597633,614724,518183,533008,516612,468743,441910,525832,556184,527067,537345,551478,517428,544524,548411,546960,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",36,"48-49","  Transportation and warehousing",1417574,1599582,1610152,1416833,2331961,1605702,1686052,1697179,1669418,1969353,2366530,2973965,2529063,3535540,3038331,3340546,3322789,3457432,3905230,4231403,4394238,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",37,"481","   Air transportation",75793,46660,39031,26726,16031,-2859,32046,52155,92596,60905,84900,63264,102325,120250,136887,113154,116827,170922,225978,247290,220091,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",38,"482","   Rail transportation",(T),(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",39,"483","   Water transportation",29214,30211,30247,51931,48942,39558,60593,75647,(D),103394,111363,133692,141496,157390,131323,122900,140647,140364,141392,109767,141398,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",40,"484","   Truck transportation",36310,42941,42874,47442,49493,51585,54837,61832,70178,81171,75427,79052,77681,79984,83966,88727,93590,93927,93998,81775,80350,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",41,"485","   Transit and ground passenger transportation",22569,26316,27788,29763,29040,29563,39343,45289,43944,51575,50123,60426,61026,69182,69539,76016,101483,107700,101400,67927,61877,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",42,"486","   Pipeline transportation",1192244,1381375,1410688,1184510,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",59415,65621,54458,73484,(D),(D),(D),(D),221141,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",44,"493","   Warehousing and storage",2028,6457,5066,2977,2463,1890,4236,5074,7103,7238,6341,9047,8625,8158,7511,8302,7460,5715,4090,3838,3079,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",45,"51","  Information",316541,340464,331084,335870,330506,379580,410013,495617,570729,584438,612941,638775,573334,620995,620911,647422,745039,751726,862453,856341,813777,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",46,"511","   Publishing industries (except Internet)",27230,30199,40024,21723,24067,(D),45486,(D),61504,48428,61939,59907,53347,47049,40886,33865,31788,28007,27716,29160,27520,(NA)
