GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",1114224,1257992,1579732,2091278,2175760,2118592,2053591,2097182,2567034,2646692,3400863,2936358,2911655,2589586,2980892,2262078,2651776,3172676,3498403,4263551,4531996,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",23,"337","    Furniture and related product manufacturing",484463,490688,505672,527199,463604,588317,535802,480158,638725,563565,510094,178048,116336,32701,134035,62983,63741,146835,216892,244052,162845,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",24,"339","    Miscellaneous manufacturing",808005,686763,521436,443017,299077,560514,400054,454377,344675,462129,442045,468612,589781,591582,461989,506948,400085,565948,564753,696267,766954,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",12119862,12557482,12917063,11827565,13119916,14285722,14157166,14369459,13996374,15648006,15795135,13883707,21322452,20980034,24473558,22543879,23137751,29651635,26142313,24090429,24745339,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",3621059,3333009,3813723,3329494,4290873,4458165,3893683,4080201,3516829,4308188,4152939,3910610,5455151,4511309,4252322,4636123,5521357,6336602,6662955,6110836,5781063,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",36427,59792,166819,142449,129227,77598,-28018,9717,-8393,-5130,45247,39443,32278,98674,80034,38610,92128,90665,87555,68293,63673,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",98004,52081,19514,25491,55491,40827,39915,44202,60124,30375,75515,77169,63062,39227,39414,21886,42585,32190,34397,33811,27258,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",29,"322","    Paper manufacturing",928501,777735,955908,833280,763548,918750,638972,752047,681045,979776,933706,531389,790740,703729,647031,453427,444994,613537,631119,578877,442793,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",30,"323","    Printing and related support activities",346495,335718,437974,401277,473127,620568,716785,805940,849499,860643,830897,640453,727316,650635,717221,633002,611867,677105,758423,829655,777548,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",691126,1243420,740576,1499021,1737523,1260183,1658211,1985548,3240437,3579648,2631379,1838111,5227929,5969149,9222014,6876742,8517398,12778461,6765368,3167617,4973237,(NA)
